OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
NCB696	1			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
NCB671	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0040048377	0.0438672063	3.6700507021	-0.0089762373	0.0009509481	0.0000000000	0.0000978741	0.0001685487	0.0000000000	0.0007564149	-313.0498283570	0.0000000000	0.0000000000	1.0132092288	-10.0184256096	2.2479208651	mm
NCB671	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.1031849826	-0.0101755676	3.6835835930	-0.0089402579	0.0011451371	0.0000000000	-0.0001554879	0.0002316417	0.0000000000	0.0007499959	313.0498283570	0.0000000000	0.0000000000	-1.0132092288	7.7913029886	0.9153234039	mm
NCB714	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
NCB714	1			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
NCB609	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0555618023	0.0436392025	5.5454157201	-0.0000212496	0.0009400573	0.0000000000	-0.0007840628	0.0004758996	0.0000000000	0.0007065872	-323.1513403135	0.0000000000	0.0000000000	0.2798299619	-7.5064801133	-0.1035157645	mm
NCB609	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0002153253	0.0861362463	5.5419224533	0.0017785864	0.0003361709	0.0000000000	-0.0001209121	0.0003542920	0.0000000000	-0.0005340663	323.1513403135	0.0000000000	0.0000000000	-0.2798299619	8.5284180271	4.4817370511	mm
NCB635	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0310017009	0.0130221753	3.6903709599	-0.0074965500	0.0001591903	0.0000000000	-0.0000471062	0.0001195355	0.0000000000	0.0005149438	-349.2307784113	0.0000000000	0.0000000000	-0.1417244956	-7.0792977368	2.2972066829	mm
NCB635	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0310879825	-0.0085132954	3.6986884891	-0.0081976473	0.0005517509	0.0000000000	0.0003969596	-0.0000335448	0.0000000000	0.0005711354	349.2307784113	0.0000000000	0.0000000000	0.1417244956	8.1379910196	2.5076553208	mm
NCB610	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0565702240	0.0305102452	5.5260259677	0.0010685024	0.0006224576	0.0000000000	-0.0004486430	0.0002205296	0.0000000000	0.0001462885	-321.9486600563	0.0000000000	0.0000000000	-0.4962173408	-8.6595072849	5.7488345322	mm
NCB610	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0776064842	0.0404511204	5.5469603389	0.0008040630	0.0007217557	0.0000000000	-0.0003709871	0.0003848915	0.0000000000	-0.0000294679	321.9486600563	0.0000000000	0.0000000000	0.4962173408	8.2761497630	0.8482973311	mm
NCB670	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0565702240	0.0305102452	5.5260259677	0.0010685024	0.0006224576	0.0000000000	-0.0004486430	0.0002205296	0.0000000000	0.0001462885	-321.9486600563	0.0000000000	0.0000000000	-0.4962173408	-8.6595072849	5.7488345322	mm
NCB670	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0776064842	0.0404511204	5.5469603389	0.0008040630	0.0007217557	0.0000000000	-0.0003709871	0.0003848915	0.0000000000	-0.0000294679	321.9486600563	0.0000000000	0.0000000000	0.4962173408	8.2761497630	0.8482973311	mm
NCB688	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	-0.0662095208	0.0266365364	3.6799597962	-0.0086396128	0.0007050332	0.0000000000	-0.0001194317	0.0001733183	0.0000000000	0.0002060995	-314.8026520640	0.0000000000	0.0000000000	-0.2108512958	-6.7947444424	2.1664771469	mm
NCB688	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0361755706	-0.0209722949	3.6758633728	-0.0083615880	0.0006378123	0.0000000000	0.0001844562	0.0000462057	0.0000000000	0.0005421650	314.8026520640	0.0000000000	0.0000000000	0.2108512958	7.4973332007	0.6879689065	mm
NCB695	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0310017009	0.0130221753	3.6903709599	-0.0074965500	0.0001591903	0.0000000000	-0.0000471062	0.0001195355	0.0000000000	0.0005149438	-349.2307784113	0.0000000000	0.0000000000	-0.1417244956	-7.0792977368	2.2972066829	mm
NCB695	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0310879825	-0.0085132954	3.6986884891	-0.0081976473	0.0005517509	0.0000000000	0.0003969596	-0.0000335448	0.0000000000	0.0005711354	349.2307784113	0.0000000000	0.0000000000	0.1417244956	8.1379910196	2.5076553208	mm
NCB650	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0565702240	0.0305102452	5.5260259677	0.0010685024	0.0006224576	0.0000000000	-0.0004486430	0.0002205296	0.0000000000	0.0001462885	-321.9486600563	0.0000000000	0.0000000000	-0.4962173408	-8.6595072849	5.7488345322	mm
NCB650	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0776064842	0.0404511204	5.5469603389	0.0008040630	0.0007217557	0.0000000000	-0.0003709871	0.0003848915	0.0000000000	-0.0000294679	321.9486600563	0.0000000000	0.0000000000	0.4962173408	8.2761497630	0.8482973311	mm
NCB624	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0696997163	0.0753138869	5.5350724943	0.0013682615	0.0005090440	0.0000000000	-0.0010959440	0.0008293040	0.0000000000	0.0001676137	324.5873572593	0.0000000000	0.0000000000	0.0139898885	9.3687112366	-4.1961565453	mm
NCB624	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0476852543	0.0749074207	5.5590604604	0.0007437850	0.0007775351	0.0000000000	-0.0006132331	0.0009852247	0.0000000000	-0.0000199238	-324.5873572593	0.0000000000	0.0000000000	-0.0139898885	-7.8262452817	1.2291598425	mm
NCB666	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0502108585	0.0698943238	5.5442877448	0.0013669093	0.0006000012	0.0000000000	-0.0009201681	0.0006216933	0.0000000000	0.0000331761	-324.1700944482	0.0000000000	0.0000000000	-0.3885797512	-7.2570688208	1.1731009026	mm
NCB666	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0506815345	0.0686338657	5.5375043009	0.0007168677	0.0006695891	0.0000000000	-0.0010046026	0.0002431304	0.0000000000	0.0004493539	324.1700944482	0.0000000000	0.0000000000	0.3885797512	9.2863201352	-1.4931887165	mm
NCB612	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	-0.0413818867	-0.0186042093	3.7106085495	-0.0082627825	0.0007963427	0.0000000000	0.0000899793	0.0002151756	0.0000000000	0.0009116845	-347.6091225454	0.0000000000	0.0000000000	-0.3573770337	-7.1489030793	-1.2105543873	mm
NCB612	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0419689601	0.0055618302	3.7099096063	-0.0081659262	0.0006169094	0.0000000000	0.0001680108	-0.0000075191	0.0000000000	0.0007311472	347.6091225454	0.0000000000	0.0000000000	0.3573770337	7.6523735725	-1.7726302718	mm
