"campaignid","opcode","period","error","family","genus","species","number","length_mm","frame","frame_left","range","min_length","max_length","length_max_mm","em_comment","rms","precision","code"
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C01-001",,"too small","Carangidae","Gnathanodon","speciosus","1","168.7928",,"20628",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C01-001",,"too small","Carangidae","Gnathanodon","speciosus","1","162.96184",,"20843",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C01-001",,"too small","Carangidae","Gnathanodon","speciosus","1","167.95913",,"20973",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C01-001",,"too small","Carangidae","Gnathanodon","speciosus","2","149.70607",,"21088",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C01-045",,"too small","Echeneidae","Echeneis","naucrates","1","73.28699",,"72502",,"165","935","1100",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C01-045",,"too small","Echeneidae","Echeneis","naucrates","1","95.45477",,"72612",,"165","935","1100",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C01-045",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","513.05476",,"34897",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C01-047",,"too big","Bothidae","Unknown","spp","1","237.41394",,"8384",,"27.0520672683532","153.295047854002","180.347115122355",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C01-047",,"too big","Carangidae","Atule","mate","1","257.66006",,"65980",,"45","255","300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C01-047",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","516.92523",,"18935",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C01-047",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","437.56542",,"19624",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C02-002",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","504.78217",,"46456",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C02-048",,"too big","Pomacentridae","Pomacentrus","spp","1","80.04677",,"77684",,"13.6699999968211","77.4633333153195","91.1333333121406",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C02-050",,"species.not.observed.in.region.before","Cheloniidae","Unknown","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C02-050",,"species.not.in.life.history.sheet","Pseudochromidae","Pseudochromis","sp1",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C02-050",,"species.not.in.life.history.sheet","Sus","Sus","sus",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C02-051",,"too big","Carcharhinidae","Carcharhinus","coatesi","1","805.28261",,"5553",,"130.5","739.5","870",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C02-052",,"species.not.in.life.history.sheet","Sus","Sus","sus",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C02-052",,"too small","Labridae","Unknown","spp","1","40.24098",,"25059",,"46.1680007483113","261.618670907098","307.786671655409",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C02-052",,"too small","Nemipteridae","Scolopsis","regina","1","39.46582",,"76605",,"57","323","380",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C03-053",,"too small","Carangidae","Gnathanodon","speciosus","1","139.51165",,"61145",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C03-053",,"too big","Nemipteridae","Pentapodus","porosus","1","231.83784",,"37126",,"40.5","229.5","270",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C03-055",,"too small","Carangidae","Turrum","fulvoguttatum","1","190.06691",,"52554",,"195","1105","1300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C04-004",,"too big","Nemipteridae","Scaevius","milii","1","203.98394",,"21646",,"30","170","200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C04-058",,"too big","Bothidae","Unknown","spp","1","177.93458",,"77877",,"27.0520672683532","153.295047854002","180.347115122355",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C04-058",,"too big","Tetraodontidae","Torquigener","hicksi","2","128.6107",,"36570",,"19.5","110.5","130",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C04-060",,"too big","Elopidae","Elops","spp","1","1021.67067",,"56232",,"178.5","1011.5","1190",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C05-005",,"species.not.observed.in.region.before","Cheloniidae","Unknown","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C05-005",,"too big","Labridae","Halichoeres","nebulosus","2","105.45527",,"28499",,"18","102","120",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C05-005",,"too big","Pseudochromidae","Unknown","spp","1","112.52525",,"38568",,"13.1972197693783","74.7842453598103","87.9814651291886",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C05-063",,"too big","Pomacentridae","Pomacentrus","spp","1","79.08759",,"20080",,"13.6699999968211","77.4633333153195","91.1333333121406",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C05-064",,"too small","Lutjanidae","Lutjanus","carponotatus","1","56.10643",,"61263",,"60","340","400",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C05-064",,"too big","Labridae","Coris","pictoides","2","166.58872",,"32959",,"22.5","127.5","150",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C05-065",,"too big","Chaetodontidae","Chelmon","marginalis","1","153.70426",,"54844",,"27","153","180",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C07-073",,"too small","Lethrinidae","Lethrinus","genivittatus","1","36.71313",,"17268",,"37.5","212.5","250",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C07-075",,"too small","Lethrinidae","Lethrinus","atkinsoni","1","73.75147",,"59070",,"75","425","500",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C07-075",,"too small","Pomacanthidae","Pomacanthus","spp","1","26.02841",,"2055",,"57.6","326.4","384",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C07-075",,"too big","Labridae","Stethojulis","spp","2","124.61195",,"49743",,"21.75","123.25","145",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C07-076",,"too small","Lethrinidae","Lethrinus","spp","1","74.44692",,"61772",,"86.3113637404008","489.097727862271","575.409091602672",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C07-077",,"too big","Carangidae","Atropus","hedlandensis","1","276.79273",,"39946",,"48","272","320",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C07-077",,"too big","Carangidae","Atropus","hedlandensis","1","288.79617",,"39978",,"48","272","320",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C07-077",,"too big","Carangidae","Atropus","hedlandensis","1","300.30481",,"39983",,"48","272","320",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-008",,"too big","Labridae","Stethojulis","spp","1","125.87546",,"52992",,"21.75","123.25","145",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-078",,"species.not.observed.in.region.before","Cheloniidae","Unknown","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-078",,"too big","Pomacentridae","Unknown","spp","1","102.47324",,"27366",,"17.9579144869277","101.761515425924","119.719429912851",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-078",,"too big","Siganidae","Siganus","virgatus","2","266.62267",,"13831",,"45","255","300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-079",,"species.not.in.life.history.sheet","Sus","Sus","sus",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-079",,"too small","Labridae","Choerodon","cyanodus","1","103.63409",,"5947",,"106.5","603.5","710",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-079",,"too big","Blenniidae","Ecsenius","yaeyamaensis","1","71.14833",,"3859",,"9","51","60",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-079",,"too big","Blenniidae","Ecsenius","yaeyamaensis","1","74.24221",,"3873",,"9","51","60",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-079",,"too big","Labridae","Choerodon","spp","1","593.8805",,"75814",,"68.8312499821186","390.043749898672","458.874999880791",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-079",,"too big","Nemipteridae","Scaevius","milii","1","229.85937",,"23222",,"30","170","200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-080",,"too small","Carangidae","Caranx","ignobilis","1","266.15805",,"49646",,"270","1530","1800",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-081",,"too big","Acanthuridae","Acanthurus","grammoptilus","1","393.51059",,"16678",,"53.3999977111816","302.599987030029","355.999984741211",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-081",,"too big","Chaetodontidae","Heniochus","diphreutes","1","251.73058",,"41670",,"31.5","178.5","210",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-081",,"too big","Chaetodontidae","Unknown","spp","1","271.49328",,"72250",,"27.5631774347282","156.191338796793","183.754516231521",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-081",,"too big","Pomacentridae","Abudefduf","bengalensis","1","156.01298",,"43532",,"27","153","180",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-081",,"too big","Pomacentridae","Pomacentrus","spp","1","81.3833",,"48204",,"13.6699999968211","77.4633333153195","91.1333333121406",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-081",,"too big","Pomacentridae","Pomacentrus","spp","1","84.86338",,"48210",,"13.6699999968211","77.4633333153195","91.1333333121406",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-081",,"too big","Pomacentridae","Pomacentrus","spp","1","80.61265",,"48237",,"13.6699999968211","77.4633333153195","91.1333333121406",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-081",,"too big","Pomacentridae","Pomacentrus","spp","1","87.252",,"48275",,"13.6699999968211","77.4633333153195","91.1333333121406",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-081",,"too big","Siganidae","Siganus","spp","1","364.79923",,"75843",,"53.4705882352941","303","356.470588235294",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-081",,"too big","Siganidae","Siganus","virgatus","1","267.86577",,"75360",,"45","255","300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-081",,"too big","Siganidae","Siganus","virgatus","1","256.32417",,"75520",,"45","255","300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C08-082",,"too big","Pomacentridae","Stegastes","albifasciatus","1","110.91313",,"32391",,"19.5","110.5","130",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C09-083",,"too small","Carangidae","Gnathanodon","speciosus","2","165.32931",,"78422",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C09-083",,"too small","Carangidae","Gnathanodon","speciosus","1","118.25578",,"78444",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C09-083",,"too small","Carangidae","Gnathanodon","speciosus","1","178.92738",,"78580",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C09-083",,"too small","Carangidae","Gnathanodon","speciosus","1","165.63907",,"78584",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C09-083",,"too small","Tetraodontidae","Lagocephalus","sceleratus","1","123.23866",,"69322",,"165","935","1100",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C09-085",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","503.11133",,"34596",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C11-011",,"too big","Tetraodontidae","Torquigener","pallimaculatus","1","162.92833",,"56160",,"27","153","180",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C11-093",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","528.17395",,"81052",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C11-095",,"too big","Blenniidae","Meiacanthus","luteus","1","96.28882",,"71003",,"15.4500002861023","87.5500016212463","103.000001907349",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C11-095",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","556.74286",,"44662",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C11-097",,"too big","Leiognathidae","Unknown","spp","2","185.80295",,"63217",,"20.9314063042402","118.611302390695","139.542708694935",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C11-097",,"too big","Leiognathidae","Unknown","spp","2","137.10093",,"63222",,"20.9314063042402","118.611302390695","139.542708694935",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C12-100",,"too small","Tetraodontidae","Lagocephalus","sceleratus","1","92.14856",,"52414",,"165","935","1100",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C12-101","1","3D.point.measurement.over.rms","Synodontidae","Saurida","undosquamis",,,,"18436","857.27186",,,,,"29.9559",,"37118001"
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C12-101","1","3D.point.measurement.over.rms","Siganidae","Siganus","fuscescens",,,,"42239","854.73979",,,,,"27.97542",,"37438001"
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C12-101",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","501.28497",,"77655",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C12-102",,"too small","Echeneidae","Echeneis","naucrates","1","103.10585",,"50124",,"165","935","1100",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C12-102",,"too big","Nemipteridae","Nemipterus","furcosus","1","236.80926",,"20520",,"36","204","240",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C14-014",,"too small","Carangidae","Gnathanodon","speciosus","1","163.60895",,"79737",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C14-014",,"too big","Clupeidae","Herklotsichthys","blackburni","1","117.97664",,"47338",,"17.745","100.555","118.3",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C14-014",,"too big","Clupeidae","Herklotsichthys","blackburni","1","120.13533",,"47363",,"17.745","100.555","118.3",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C14-014",,"too big","Clupeidae","Herklotsichthys","blackburni","1","102.05101",,"47363",,"17.745","100.555","118.3",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C14-108",,"too big","Carangidae","Selaroides","leptolepis","2","223.10267",,"51095",,"33","187","220",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C14-110",,"too big","Mullidae","Upeneus","spp","1","168.76076",,"5632",,"28.9125000536442","163.837500303984","192.750000357628",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C15-015",,"species.not.observed.in.region.before","Elapidae","Aipysurus","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C15-015",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"4728",,,,,,,,
